id,Title,_yoast_wpseo_focuskw,_yoast_wpseo_focuskw_text_input
176,"""[Ansible] Giới thiệu về Ansible""",,
177,"""[Ansible] Hướng dẫn sử dụng và quản lý Role trong Ansible""",,
178,"""[Ansible] Quản trị Windows Server 2012 với Ansible - Phần 2""",,
179,"""[Ansible] Quản trị Windows Server 2012 với Ansible""",,
175,"""[AWS] Hướng dẫn tạo VPC trên AWS""",,
193,"""[dmidecode] Hướng dẫn kiểm tra thông tin server HP và Dell""",,
180,"""[LoadBalance] Giới thiệu LVS & IPVS""",,
181,"""[NFV] DPDK - Data Plane Development Kit""",,
182,"""[NFV] NFV và SDN""",,
183,"""[NFV] Phần 1 - Giới thiệu về NFV""",,
184,"""[NFV] Phần 2 - Kiến trúc của NFV""",,
185,"""[NFV] SR-IOV""",,
186,"""[Nhập môn Docker] Phần 1: Cài đặt Docker trên CentOS7""",,
187,"""[Nhập môn Docker] Phần 2: Giới thiệu các kiểu lưu trữ dữ liệu trên Docker""",,
189,"""[SCCM] Cài đặt SQL Server cho SCCM""",,
188,"""[SCCM] Chuẩn bị triển khai SCCM""",,
190,"""[SCCM] Giới thiệu SCCM""",,
191,"""[StorSimple] Cài đặt Device Update 5.0 cho StorSimple""",,
192,"""[StorSimple] Giới thiệu StorSimple""",,
949,"""AI Is Not Replacing Workers"" And Other Lies About AI",ai,ai
90,"""Audit MySQL User action bằng Mcafee Audit Plugin""",,
92,"""Bên trong VNG Zing Database sẽ có gì""",,
95,"""Cài đặt và cấu hình TICK Stack""",,
96,"""Cấu hình Azure Application Gateway Redirection""",,
97,"""Cấu hình MySQL Replication GTID Master-Master""",,
93,"""Coi thả ga ebook với tài khoản ACM (20$/năm)""",,
94,"""Containers - Một cách tiếp cận mới của ảo hóa""",,
195,"""Đóng gói ứng dụng Flask với Docker""",,
99,"""Elastic Cloud on Kubernetes (ECK)""",,
100,"""Elasticsearch lưu ý khi config production environment""",,
98,"""ETL vs ELT (phần 1): Xu hướng Data Warehouse""",,
101,"""Giải thích tên dịch vụ trên Amazon Web Service (AWS)""",,
102,"""Giới thiệu các thông số cấu hình MySQL""",,
103,"""Giới thiệu một số thuật toán TCP Congestion Control""",,
104,"""Giới thiệu về IPtables""",,
105,"""Giới thiệu về LVM - Logical Volume Management""",,
106,"""Giới thiệu về SSH""",,
113,"""Hướng dẫn bật tính năng log trên haproxy""",,
116,"""Hướng dẫn cài đặt Apache Guacamole""",,
117,"""Hướng dẫn cài đặt Apache từ source""",,
118,"""Hướng dẫn cài đặt Gitbucket trên CentOS 7""",,
119,"""Hướng dẫn cài đặt Nginx từ source""",,
123,"""Hướng dẫn cài đặt phiên bản Docker bất kì trên Linux""",,
120,"""Hướng dẫn cài đặt PHP từ source""",,
108,"""HƯỚNG DẪN CÀI ĐẶT PORTAINER ĐỂ QUẢN LÝ DOCKER HOST""",,
124,"""Hướng dẫn cài đặt python và virtualenv""",python,python
121,"""Hướng dẫn cài đặt Redmine trên CentOS""",,
122,"""Hướng dẫn cài đặt Teleport làm remote SSH""",,
125,"""Hướng dẫn cài đặt và cấu hình Memcached trên CentOS""",,
126,"""Hướng dẫn cài đặt và mount NFS trên CentOS 7""",,
127,"""Hướng dẫn cài đặt và sử dụng pure-ftpd để tạo tài khoản ftp""",,
109,"""HƯỚNG DẪN CÀI ĐẶT WHATWAF""",,
128,"""Hướng dẫn cấu hình Cache cho Nginx""",,
133,"""Hướng dẫn cấu hình chạy mô hình LAMP stack trên Directadmin""",,
134,"""Hướng dẫn cấu hình keepalive connection cho Nginx""",,
129,"""Hướng dẫn cấu hình Max File Descriptor""",,
130,"""Hướng dẫn cấu hình MySQL replication Master-Slave""",,
132,"""Hướng dẫn cấu hình Nginx load balance""",,
131,"""Hướng dẫn cấu hình NTP""",,
135,"""Hướng dẫn cấu hình virtual IP với keepalived""",,
115,"""Hướng dẫn chặn toàn bộ IP của một quốc gia trên Windows""",,
114,"""Hướng dẫn chít game Clicker Heroes - Android""",,
107,"""HƯỚNG DẪN CHUYỂN ĐỔI CENTOS 8 SANG ROCKY LINUX""",,
136,"""Hướng dẫn dùng tính năng submodule của Git""",,
137,"""Hướng dẫn giấu một folder trên Windows""",,
138,"""Hướng dẫn kiểm tra IOPS trên server Linux""",,
139,"""Hướng dẫn kiểm tra trạng thái RAID""",,
140,"""Hướng dẫn liệt kê danh sách domain của nginx""",,
141,"""Hướng dẫn reset password admin Grafana""",,
142,"""Hướng dẫn setup Prometheus + Grafana để monitor dịch vụ""",,
144,"""Hướng dẫn sử dụng mRemoteNG để Remote Desktop""",,
143,"""Hướng dẫn sử dụng Selenium""",,
148,"""Hướng dẫn tạo chứng thực cơ bản nginx - http basic authentication""",,
145,"""Hướng dẫn thao tác với lệnh vi""",,
146,"""Hướng dẫn thay đổi port remote desktop""",,
147,"""Hướng dẫn toàn tập về partition trên Linux""",,
149,"""Hướng dẫn tối ưu Linux kernel""",,
150,"""Hướng dẫn tự động start dịch vụ trên Linux - Giới thiệu về các Init System (Phần 1)""",,
151,"""Hướng dẫn update kernel linux trên CentOS bằng yum""",,
111,"""Hướng dẫn Upgrade Kernel Linux.""",,
152,"""Hướng dẫn vô hiệu hóa giao thức SMB trên Windows server""",,
110,"""Hướng Dẫn Xử Lý Tình Trạng Full Inode""",,
153,"""ISASS.exe sử dụng nhiều băng thông""",,
154,"""Lập trình Bash Shell cơ bản - Phần 1""",,
155,"""Moby Project - Công nghiệp hóa containers""",,
156,"""MongoDB - Phần 1 Giới thiệu về MongoDB""",,
157,"""Một lần đi lên mây - Dạo một vòng AWS Networking""",,
158,"""Những gì đã xảy ra khi boot một hệ thống Linux?""",,
194,"""ownCloud trên Docker - Lưu trữ dữ liệu chia sẻ - Triển khai dễ dàng""",,
159,"""PHƯƠNG PHÁP LẬP KẾ HOẠCH SAO LƯU HIỆU QUẢ""",,
160,"""Prometheus at Scale - Hướng dẫn sharding Prometheus""",,
161,"""Prometheus at Scale - Tổng quan về Prometheus""",,
162,"""RÀ SOÁT LỖI & TỐI ƯU HÓA HỆ THỐNG SAO LƯU DOANH NGHIỆP""",,
163,"""SAO LƯU: TRỨNG PHỤC SINH CỦA HỆ THỐNG DỮ LIỆU DOANH NGHIỆP""",,
164,"""So sánh các phiên bản Windows server 2012""",,
165,"""Soft Delete của Azure Storage Blob: Trứng phục sinh của dữ liệu đã xóa""",,
166,"""Swap là gì? Tổng quan về swap""",,
168,"""Thế nào là MCSA, MCSE""",,
169,"""Tìm hiểu về MySQL""",,
170,"""Tổng quan về Hyper-V""",,
171,"""Tổng quan về PHP""",,
167,"""TRIỂN KHAI & ĐO LƯỜNG SAO LƯU & PHỤC HỒI""",,
172,"""Tự động đồng bộ 2 thư mục trên Windows""",,
173,"""Use Thinkpad T470 fingerprint on Ubuntu 16.04""",,
174,"""Xây dựng mạng lưới Etherum cá nhân bằng Docker Compose""",,
1069,“Google Will Kill ChatGPT” and Other Overhyped AI Predictions We Heard In 2023,chatgpt,chatgpt
981,10 Python Mistakes You Shouldn’t Make,python,python
694,13 Cheat Codes I Wish I Knew Before (As a Programmer),programmer,programmer
420,13 Most Important AI Concepts Every Claude User Should Know,concept,concept
549,25 Things I've Learned About ChatGPT and Other AI Tools,chatgpt,chatgpt
973,3 ChatGPT-Like Extensions to Automate Your Life,chatgpt,chatgpt
979,3 Simple Ways ChatGPT Has Helped me Improve My Everyday Life,chatgpt,chatgpt
581,3 Things I Learned About AI That Save Me Hours Every Week,ai,ai
674,4 Free Courses I Took to Learn Python for Data Science & AI,course,course
925,4 Free Prompt Engineering Courses to Join The Top 1% of ChatGPT Users,chatgpt,chatgpt
1081,5 AI Tools That Will Help You Bring Images to Life,ai,ai
983,5 AI Tools That Will Make Your Life Easier (Other Than ChatGPT),chatgpt,chatgpt
615,5 Game-Changing ChatGPT Features You’re Probably Missing,chatgpt,chatgpt
931,5 macOS Apps I Never Close as a Programmer,programmer,programmer
1131,6 Chrome Extensions That Unlock Some GPT-4 Features (Without Paying for ChatGPT Plus),chatgpt,chatgpt
945,6 Free Websites (Powered by AI) That Every Content Creator Needs to Know,ai,ai
493,65% Stick to ChatGPT. Here's Why The Rest Are Switching to Gemini and Claude,claude,claude
503,A 15-Week Course to Master AI in 2026,course,course
605,A Free 17-Hour Course to Learn Python for Data Science (for Beginners),course,course
1075,A Hands-On Comparison: Gemini Pro vs GPT-3.5,chatgpt,chatgpt
611,A Simple Guide to Vibe Coding for Beginners,coding,coding
551,A simple tweak that helps me generate better images and edit them with ChatGPT,chatgpt,chatgpt
1047,AI & Python #1: How to Learn Python with ChatGPT,chatgpt,chatgpt
975,AI & Python #10: Automate 4 Boring Tasks in Python with 5 Lines of Code,python,python
969,AI & Python #11: How to Automate Emails with Python,python,python
963,AI & Python #12: How to Easily Create a PDF File with Python,python,python
959,AI & Python #13: How to Automate Your Excel Reporting with Python,python,python
953,AI & Python #14: How to Automate Your Python Scripts on Mac and Windows,python,python
951,AI & Python #15: Automate The Most Tedious Task on The Internet With Python,python,python
939,AI & Python #16: 4 Python Books I Read as a Self-Taught Programmer,python,python
937,AI & Python #17: How to Convert a Python Script to an Executable File (.exe),python,python
915,AI & Python #18: AI Enthusiasts Should Move from Excel to Python. Here's How,python,python
913,AI & Python #19: How to Create Beautiful Visualizations in Python,python,python
1041,AI & Python #2: Two Tools Every Python Programmer Needs To Use,python,python
909,AI & Python #20: Web Scraping Projects That Will Help Automate Your Life,python,python
901,AI & Python #21: SQL Core Concepts Any Analyst Should Know,python,python
899,"AI & Python #22: Yes, Python Has a Built-In Database. Here's How to Use It.",python,python
895,AI & Python #23: How to Tokenize Text in Python,python,python
887,AI & Python #24: Create a Linear Regression using Python,python,python
885,AI & Python #25: Let's Build Your First Machine Learning Model in Python,python,python
877,AI & Python #26: A Super-Fast Way to Loop in Python,python,python
871,AI & Python #27: Books I Read to Learn Data Science and Machine Learning,python,python
867,AI & Python #28: The Notebook Used for Data Science and AI Projects,python,python
863,AI & Python #29: Python Projects You Can Finish in a Weekend,python,python
1033,AI & Python #3: Concepts You Should Know Before Learning Web Scraping,python,python
859,AI & Python #30: One-Liners Anyone Learning Python Should Know,python,python
857,AI & Python #31: How to Self Study Python And Other Technical Stuff,python,python
855,AI & Python #32: Software Engineering Practices Anyone Learning Python Should Know,python,python
851,AI & Python #33: 4 Python Books That Every Beginner Should Read to Go Beyond The Basics,python,python
692,AI & Python #34: Tools That Made My Life Easier When Writing Code,python,python
690,AI & Python #35: Data Science Projects in Python for All Levels,python,python
688,AI & Python #36: Python Libraries You Should Learn,python,python
682,AI & Python #37: Books I Read to Automate Some Boring Tasks,python,python
678,AI & Python #38: The Easiest Way to Make Beautiful Interactive Visualizations With Pandas,python,python
648,AI & Python #39 : Here's What Most Python and Data Science Courses Don't Teach You,python,python
1025,AI & Python #4: The Easiest Way To Web Scrape with Python,python,python
1021,AI & Python #5: Web Scraping in Python with Beautiful Soup,python,python
1017,AI & Python #6: Web Scraping in Python with Selenium,python,python
1007,AI & Python #7: Stop Overusing “+” to Join Strings in Python,python,python
997,AI & Python #8: Pandas Functions that Data Analysts Use 60% of the Time,python,python
987,AI & Python #9: Create AI Products with The OpenAI API,python,python
640,AI Agents Are Here And They’re Not Just Taking Notes Anymore,agent,agent
553,AI Agents: The Next Big Thing After ChatGPT,chatgpt,chatgpt
680,"AI Art’s Hollow Victory: Faster, Cheaper, and Forgettable",ai,ai
642,AI at Bargain Prices—But Who’s Really Paying the Bill?,ai,ai
589,AI Can Make You Productive or Dumb. Here’s How to Tell Which Side You’re On,ai,ai
1019,AI Companies Have Been Scraping The Internet for Years. But Is Web Scraping Legal?,ai,ai
967,AI Devices Are Not There Yet,ai,ai
619,AI Gets the Credit. You Get the Bugs,ai,ai
879,AI in Business: Moving Past the Hype and False Promises,ai,ai
1121,AI is Revolutionizing Video Creation. Here's Why This is Good for You,ai,ai
1141,AI News — This is What You’ve Missed This Summer,ai,ai
853,AI Tools I Use Almost Every Day,ai,ai
1087,AI Tutorial: Creating a Custom ChatGPT That Extracts Data from Websites,chatgpt,chatgpt
1117,"AI Tutorial: How to Clone Your Voice, Create AI Avatars and Translate Your Videos",ai,ai
1135,AI Updates: The AI News That You Might've Missed This Week,ai,ai
919,All AI Tools And ChatGPT Prompts in 1 Article,chatgpt,chatgpt
943,Apple Intelligence (AI) Finally Arrives on Apple Products,ai,ai
1045,Are we really in an AI bubble?,ai,ai
