id,Title,_yoast_wpseo_focuskw
90,"""Audit MySQL User action bằng Mcafee Audit Plugin""","audit mysql user actions"
92,"""Bên trong VNG Zing Database sẽ có gì""","vng zing database thông tin"
93,"""Coi thả ga ebook với tài khoản ACM (20$/năm)""","tài khoản safari books giá rẻ"
94,"""Containers - Một cách tiếp cận mới của ảo hóa""","công nghệ ảo hóa với container"
95,"""Cài đặt và cấu hình TICK Stack""","cài đặt tick stack trên centos"
96,"""Cấu hình Azure Application Gateway Redirection""","cấu hình azure application gateway redirect"
97,"""Cấu hình MySQL Replication GTID Master-Master""","mysql replication master master"
98,"""ETL vs ELT (phần 1): Xu hướng Data Warehouse""","etl vs elt comparison"
99,"""Elastic Cloud on Kubernetes (ECK)""","elastic cloud on kubernetes tutorial"
100,"""Elasticsearch lưu ý khi config production environment""","lưu ý cấu hình elasticsearch production"
101,"""Giải thích tên dịch vụ trên Amazon Web Service (AWS)""","tên dịch vụ aws"
102,"""Giới thiệu các thông số cấu hình MySQL""","cấu hình cơ bản mysql"
103,"""Giới thiệu một số thuật toán TCP Congestion Control""","thuật toán kiểm soát tắt nghẽn tcp"
104,"""Giới thiệu về IPtables""","cách sử dụng iptables"
105,"""Giới thiệu về LVM - Logical Volume Management""","lvm logical volume management hướng dẫn"
106,"""Giới thiệu về SSH""","cách sử dụng ssh trong linux"
107,"""HƯỚNG DẪN CHUYỂN ĐỔI CENTOS 8 SANG ROCKY LINUX""","chuyển đổi từ centos 8 sang rocky linux"
108,"""HƯỚNG DẪN CÀI ĐẶT PORTAINER ĐỂ QUẢN LÝ DOCKER HOST""","cài đặt portainer trên linux"
109,"""HƯỚNG DẪN CÀI ĐẶT WHATWAF""","cài đặt whatwaf trên kali linux"
110,"""Hướng Dẫn Xử Lý Tình Trạng Full Inode""","cách xử lý full inode"
111,"""Hướng dẫn Upgrade Kernel Linux.""","upgrade linux kernel guide"
113,"""Hướng dẫn bật tính năng log trên haproxy""","bật log haproxy hướng dẫn"
114,"""Hướng dẫn chít game Clicker Heroes - Android""","cheat clicker heroes android"
115,"""Hướng dẫn chặn toàn bộ IP của một quốc gia trên Windows""","chặn ip của quốc gia trên windows"
116,"""Hướng dẫn cài đặt Apache Guacamole""","cài đặt apache guacamole"
117,"""Hướng dẫn cài đặt Apache từ source""","cài đặt apache từ source"
118,"""Hướng dẫn cài đặt Gitbucket trên CentOS 7""","cài đặt gitbucket centos 7"
119,"""Hướng dẫn cài đặt Nginx từ source""","cài đặt nginx từ source"
120,"""Hướng dẫn cài đặt PHP từ source""","cài đặt php từ source"
121,"""Hướng dẫn cài đặt Redmine trên CentOS""","cài đặt redmine trên centos"
122,"""Hướng dẫn cài đặt Teleport làm remote SSH""","cài đặt teleport remote ssh"
123,"""Hướng dẫn cài đặt phiên bản Docker bất kì trên Linux""","cài đặt docker trên linux"
124,"""Hướng dẫn cài đặt python và virtualenv""","cài đặt python virtualenv centos"
125,"""Hướng dẫn cài đặt và cấu hình Memcached trên CentOS""","cài đặt memcached trên centos"
126,"""Hướng dẫn cài đặt và mount NFS trên CentOS 7""","cài đặt nfs trên centos 7"
127,"""Hướng dẫn cài đặt và sử dụng pure-ftpd để tạo tài khoản ftp""","cài đặt pure-ftpd ftp"
128,"""Hướng dẫn cấu hình Cache cho Nginx""","cấu hình cache nginx"
129,"""Hướng dẫn cấu hình Max File Descriptor""","cách cấu hình max file descriptor"
130,"""Hướng dẫn cấu hình MySQL replication Master-Slave""","mysql replication master slave guide"
131,"""Hướng dẫn cấu hình NTP""","cấu hình ntp server trên centos"
132,"""Hướng dẫn cấu hình Nginx load balance""","cấu hình nginx load balancer"
133,"""Hướng dẫn cấu hình chạy mô hình LAMP stack trên Directadmin""","cấu hình lamp stack directadmin"
134,"""Hướng dẫn cấu hình keepalive connection cho Nginx""","cấu hình keepalive connection nginx"
135,"""Hướng dẫn cấu hình virtual IP với keepalived""","cấu hình virtual ip keepalived"
136,"""Hướng dẫn dùng tính năng submodule của Git""","cách sử dụng git submodule"
137,"""Hướng dẫn giấu một folder trên Windows""","cách giấu folder trên windows"
138,"""Hướng dẫn kiểm tra IOPS trên server Linux""","kiểm tra iops server linux"
139,"""Hướng dẫn kiểm tra trạng thái RAID""","kiểm tra trạng thái raid"
140,"""Hướng dẫn liệt kê danh sách domain của nginx""","liệt kê domain trên nginx"
141,"""Hướng dẫn reset password admin Grafana""","reset grafana admin password"
142,"""Hướng dẫn setup Prometheus + Grafana để monitor dịch vụ""","setup prometheus grafana monitor"
143,"""Hướng dẫn sử dụng Selenium""","hướng dẫn sử dụng selenium với python"
144,"""Hướng dẫn sử dụng mRemoteNG để Remote Desktop""","hướng dẫn sử dụng mremoteng"
145,"""Hướng dẫn thao tác với lệnh vi""","hướng dẫn sử dụng lệnh vi"
146,"""Hướng dẫn thay đổi port remote desktop""","thay đổi port remote desktop"
147,"""Hướng dẫn toàn tập về partition trên Linux""","partition trên linux hướng dẫn"
148,"""Hướng dẫn tạo chứng thực cơ bản nginx - http basic authentication""","http basic authentication nginx"
149,"""Hướng dẫn tối ưu Linux kernel""","tối ưu hiệu năng linux kernel"
150,"""Hướng dẫn tự động start dịch vụ trên Linux - Giới thiệu về các Init System (Phần 1)""","tự động khởi động dịch vụ linux"
151,"""Hướng dẫn update kernel linux trên CentOS bằng yum""","update linux kernel centos"
152,"""Hướng dẫn vô hiệu hóa giao thức SMB trên Windows server""","vô hiệu hóa giao thức smb windows"
